################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 22:49:50 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./pj3/TOP/lint/lint_functional_rtl/spyglass_reports/auto-verify/Uninitialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : auto-verify(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH
#RuleName:Av_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
132,TOP.ST1.P47.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
133,TOP.ST1.P46.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
134,TOP.ST1.P58.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
135,TOP.ST1.P57.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
136,TOP.ST1.P68.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
137,TOP.ST1.P18.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
138,TOP.ST1.P17.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
139,TOP.ST1.P16.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
140,TOP.ST1.P15.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
141,TOP.ST1.P14.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
142,TOP.ST1.P13.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
143,TOP.ST1.P28.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
144,TOP.ST1.P27.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
145,TOP.ST1.P26.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
146,TOP.ST1.P25.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
147,TOP.ST1.P24.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
148,TOP.ST1.P38.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
149,TOP.ST1.P37.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
150,TOP.ST1.P36.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
151,TOP.ST1.P35.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
152,TOP.ST1.P48.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
153,TOP.ST1.P47.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
154,TOP.ST1.P46.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
155,TOP.ST1.P58.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
156,TOP.ST1.P57.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
157,TOP.ST1.P68.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
158,TOP.MX7.u_get_shared_exp.exp_tree_fourth_1.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
159,TOP.MX7.u_get_shared_exp.exp_tree_third_3.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
160,TOP.MX7.u_get_shared_exp.exp_tree_third_2.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
161,TOP.MX7.u_get_shared_exp.exp_tree_third_1.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
162,TOP.MX7.u_get_shared_exp.exp_tree_second_7.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
163,TOP.MX7.u_get_shared_exp.exp_tree_second_6.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
164,TOP.MX7.u_get_shared_exp.exp_tree_second_5.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
165,TOP.MX7.u_get_shared_exp.exp_tree_second_4.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
166,TOP.MX7.u_get_shared_exp.exp_tree_second_3.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
167,TOP.MX7.u_get_shared_exp.exp_tree_second_2.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
168,TOP.MX7.u_get_shared_exp.exp_tree_second_1.enable_next,exp_tree_next,-,-,-,X,X,no,TOP.CLK,NULL
169,TOP.MX7.u_get_shared_exp.exp_tree_15.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
170,TOP.MX7.u_get_shared_exp.exp_tree_14.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
171,TOP.MX7.u_get_shared_exp.exp_tree_13.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
172,TOP.MX7.u_get_shared_exp.exp_tree_12.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
173,TOP.MX7.u_get_shared_exp.exp_tree_11.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
174,TOP.MX7.u_get_shared_exp.exp_tree_10.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
175,TOP.MX7.u_get_shared_exp.exp_tree_9.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
176,TOP.MX7.u_get_shared_exp.exp_tree_8.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
177,TOP.MX7.u_get_shared_exp.exp_tree_7.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
178,TOP.MX7.u_get_shared_exp.exp_tree_6.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
179,TOP.MX7.u_get_shared_exp.exp_tree_5.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
180,TOP.MX7.u_get_shared_exp.exp_tree_4.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
181,TOP.MX7.u_get_shared_exp.exp_tree_3.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
182,TOP.MX7.u_get_shared_exp.exp_tree_2.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
183,TOP.MX7.u_get_shared_exp.exp_tree_1.enable_next,exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
184,TOP.MX7.u_get_shared_exp.exp_tree_1.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
185,TOP.MX7.u_get_shared_exp.exp_tree_2.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
186,TOP.MX7.u_get_shared_exp.exp_tree_3.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
187,TOP.MX7.u_get_shared_exp.exp_tree_4.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
188,TOP.MX7.u_get_shared_exp.exp_tree_5.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
189,TOP.MX7.u_get_shared_exp.exp_tree_6.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
190,TOP.MX7.u_get_shared_exp.exp_tree_7.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
191,TOP.MX7.u_get_shared_exp.exp_tree_8.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
192,TOP.MX7.u_get_shared_exp.exp_tree_9.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
193,TOP.MX7.u_get_shared_exp.exp_tree_10.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
194,TOP.MX7.u_get_shared_exp.exp_tree_11.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
195,TOP.MX7.u_get_shared_exp.exp_tree_12.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
196,TOP.MX7.u_get_shared_exp.exp_tree_13.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
197,TOP.MX7.u_get_shared_exp.exp_tree_14.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
198,TOP.MX7.u_get_shared_exp.exp_tree_15.larger_exp[4:0],exp_tree,X,-,-,-,X,no,TOP.CLK,NULL
